Name,Pos,Rating,Team,Fantasy Points,FPPG,FPPM,9/27,9/26,9/25,9/24,9/23,9/22,9/21,9/20,9/19,9/18,9/17,9/16,9/15,9/14,9/13,9/12,9/11,9/10,9/9,9/8,9/7,9/6,9/5,9/4,9/3,9/2,9/1,8/31,8/30,8/29,8/28,8/27,8/26,8/25,8/24,8/23,8/22,8/21,8/20,8/19,8/18,8/17,8/16,8/15,8/14,8/13,8/12,8/11,8/10,8/9,8/8,8/7,8/6,8/5,8/4,8/3,8/2,8/1,7/31,7/30,7/29,7/28,7/27,7/26,7/25,7/24,7/23,7/22,7/21,7/20,7/19,7/18,7/17,7/16,7/15,7/14,7/13,7/12,7/11,7/10,7/9,7/8,7/7,7/6,7/5,7/4,7/3,7/2,7/1,6/30,6/29,6/28,6/27,6/26,6/25,6/24,6/23,6/22,6/21,6/20,6/19,6/18,6/17,6/16,6/15,6/14,6/13,6/12,6/11,6/10,6/9,6/8,6/7,6/6,6/5,6/4,6/3,6/2,6/1,5/31,5/30,5/29,5/28,5/27,5/26,5/25,5/24,5/23,5/22,5/21,5/20,5/19,5/18,5/17,5/16,5/15,5/14,5/13,5/12,5/11,5/10,5/9,5/8,5/7,5/6,5/5,5/4,5/3,5/2,5/1,4/30,4/29,4/28,4/27,4/26,4/25,4/24,4/23,4/22,4/21,4/20,4/19,4/18,4/17,4/16,4/15,4/14,4/13,4/12,4/11,4/10,4/9,4/8,4/7,4/6,4/5,4/4,4/3,4/2,4/1,3/31,3/30,3/29,3/28,3/27,3/26,3/25,3/24,3/23,3/22,3/21,3/20,3/19,3/18,3/17,3/16,3/15,3/14,3/13,3/12,3/11,3/10,3/9,3/8,3/7,3/6,3/5,3/4,3/3,3/2,3/1,2/28,2/27,2/26,2/25,2/24,2/23,2/22,2/21,2/20,2/19,2/18,2/17,2/16,2/15,2/14,2/13,2/12,2/11,2/10,2/9,2/8,2/7,2/6,2/5,2/4,2/3,2/2,2/1,1/31,1/30,1/29,1/28,1/27,1/26,1/25,1/24,1/23,1/22,1/21,1/20,1/19,1/18,1/17,1/16,1/15,1/14,1/13,1/12,1/11,1/10,1/9,1/8,1/7,1/6,1/5,1/4,1/3,1/2,1/1,12/31,12/30,12/29,12/28,12/27,12/26,12/25,12/24,12/23,12/22
"Lou Williams","SG",77,"LAC",408.5,66.7,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,23,0,41,0,13,0,9,0,3,0,0,20,0,3,0,25,0,14,0,0,16,0,0,5,0,10,0,0,0,15,0,0,15,0,14,0,14,0,0,16,0,0,0,0,0,0,18,0,0,9,12,0,3,0,0,0,9,27,0,11,0,9,9,0,29,0,0,23,0,22,0,20,20,0,21,0,0,23,0,14,0,19,0,15,0,11,23,0,22,0,40,15,0,0,0,0,0,0,0,20,0,1,0,25,0,0,12,0,24,10,0,0,28,0,0,0,0,0,0,21,0,16,0,23,0,26,16,0,0,0,10,0,29,0,33,0,34,45,0,32,0,42,0,0,39,0,29,0,25,17,0,18,0,16,34,0,17,0,6,0,21,0,10,0,0,0,0,0,0,5,0,0,36,0,7,0,10,22,0,11,0,14,0,26,30,0,2,0,19,0,0,16
"Eric Gordon","SG",77,"HOU",687.1,25.5,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,8,0,25,0,27,0,20,0,0,0,0,23,0,0,0,41,0,24,0,27,0,0,38,0,31,33,0,27,0,20,0,13,0,29,0,0,37,23,0,26,0,28,0,0,0,0,0,22,0,3,0,13,0,28,0,34,0,36,0,23,0,0,0,0,0,0,0,0,0
"Jabari Parker","PF",76,"SAC",130.2,20.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,20,0,0,0,0,13,0,0,17,0,0,0,0,0,29,14,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,1,0,8,0,20,21,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Giannis Antetokounmpo","PF",93,"MIL",3285.7,71.7,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,57,0,0,58,0,0,49,0,0,47,0,52,0,0,0,0,0,0,29,0,57,0,49,0,70,0,0,0,63,0,51,0,59,0,50,0,0,47,0,0,37,0,54,0,0,0,0,0,0,28,0,50,0,0,49,0,59,0,0,0,0,0,0,33,0,69,0,55,37,0,0,48,0,45,54,0,75,0,0,5,0,63,0,60,56,0,44,0,0,43,0,47,0,44,0,0,0,0,0,0,0,0,0,0,0,0,72,0,50,0,55,0,0,31,0,34,0,0,0,55,0,0,51,0,73,0,64,0,54,0,0,0,0,0,0,56,0,47,0,71,0,0,58,0,67,0,62,0,72,50,0,74,0,72,0,65,0,68,0,47,0,41,65,0,57,0,33,0,69,66,0,44,0,0,53,0,0,37,0,0,63,0,0,41,0,59,0,40,0,0,51,0,38,0,59,0,0,65,0,64,32,0,56,0,34,0,52,0
"Derrick Rose","PG",80,"DET",950.2,41.3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,26,0,26,0,28,0,0,31,0,0,0,0,0,0,15,18,0,0,0,52,0,43,0,29,0,18,0,32,39,0,0,0,22,0,36,0,39,0,0,25,24,0,23,0,22,0,22,0,22,12,0,35,0,15,0,24,0,18,14,0,0,0,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,42,0,27,0,37,0,10,0,0,0,13,0,20,0,20,36,0,0,23,0,0,0,0,0,0,0,0,0,16,0,23,26,0,0,0,0,18,0,21,0,33,0,41,0,0,0,0,0,0,0,15,0,12,0,41,25,0,31,0,0,31,0,0,17,0,0,33,0
"Tony Snell","SG",75,"ATL",522.9,11.3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,0,0,0,0,0,0,15,0,0,0,11,0,0,0,0,0,6,4,0,9,0,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,13,0,16,0,14,12,0,4,0,9,0,12,0,2,0,21,0,13,0,9,0,26,0,9,13,0,13,0,0,0,0,0,0,0,21,16,0,11,0,9,0,10,22,0,13,0,11,0,3,0,0,0,0,3,0,16,0,0,0,14,0,19,13,0,0,0,0,-1,0,0,2,0,0,0,0,0,1,0,10,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E'Twaun Moore","SG",71,"PHO",284,10.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,0,4,0,12,0,6,0,9,0,8,0,9,15,0,0,3,0,7,13,0,0,15,0,30,19,0,22,0,13,0,7,0,9,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"Rajon Rondo","PG",75,"ATL",378,42.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,25,0,5,0,6,0,0,0,0,0,0,0,18,0,3,0,1,0,16,0,0,14,0,16,0,0,14,0,0,26,0,0,0,0,0,0,0,32,17,0,19,0,23,0,0,21,0,14,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,16,0,0,35,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,0,20,0,14,0,10,13,0,16,0,0,0,0,0,0,0,8,17,0,7,0,17,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,19,3,0,19,0,0,16,0,0,3,0,23,0,29,0,4,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,15,0,0,0,0,0,0
"Trevor Ariza","SF",72,"MIA",663.3,24.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,23,0,0,23,0,28,0,0,0,0,0,0,23,0,27,0,18,0,37,0,20,0,0,25,0,35,27,0,0,16,0,40,0,16,18,0,18,0,30,22,0,20,0,19,26,0,15,0,0,10,0,13,0,0,17,0,22,9,0,11,0,0,43,26,0,14,0,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clint Capela","C",86,"ATL",2559.1,48.2,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,25,0,26,0,29,0,9,0,43,0,0,24,0,27,0,19,0,32,0,0,39,0,0,18,0,28,0,0,0,35,0,0,37,0,36,0,33,0,0,30,0,0,0,0,0,0,0,0,0,35,34,0,48,0,0,0,21,35,0,34,0,39,33,0,22,0,35,27,0,0,0,37,40,0,37,0,0,37,0,47,0,40,0,40,0,0,35,0,53,0,48,63,0,38,0,22,0,39,0,52,0,31,0,36,0,25,0,0,0,0,47,0,47,0,0,0,0,0,0,0,0,28,0,50,0,56,0,42,38,0,36,0,59,0,41,0,45,0,43,35,0,16,0,0,0,53,0,26,40,0,43,0,0,42,0,37,45,0,0,0,68,0,79,0,55,0,56,29,0,0,0,29,0,25,0,0,34,0,29,0,47,33,0,23,0,26,0,0,0,0,0,0
